TOW,OSNMA40,source_prn,is_zero_fill,reason
303919,0110101001111000010111011100110001110101,34,false,use_existing_source
303921,1010111100000110000011111011011100011110,34,false,use_existing_source
303923,1101111000101000001001101101101010111101,34,false,use_existing_source
303925,0010100001000100011010011100101011001101,34,false,use_existing_source
303927,0000000101001010110001011001110010111001,34,false,use_existing_source
303929,0111101100100010001000000000000000000000,34,false,use_existing_source
303931,1001001000010001001100100011011010000101,34,false,use_existing_source
303933,1101001100001011111100100101100100110100,34,false,use_existing_source
303935,1111000001001101000101101100100110101010,34,false,use_existing_source
303937,0111010000001011000011110100010100100001,34,false,use_existing_source
303939,0100110111110001100001100010011000011011,34,false,use_existing_source
303941,0100001000001111000100100101110100010011,34,false,use_existing_source
303943,1000000110010010011100100010001011001001,34,false,use_existing_source
303945,1001110010100100100110011101110000011100,34,false,use_existing_source
303947,1110010010110101000010010000111111010010,34,false,use_existing_source
303949,0000111001000101100110101011110111000110,34,false,use_existing_source
303951,0011101000011011110011111011011101010101,34,false,use_existing_source
303953,0000110000100111111110000000000110111001,34,false,use_existing_source
303955,1101101011011110101001010110100011111100,34,false,use_existing_source
303957,0001111000100111100111000001000111101110,34,false,use_existing_source
303959,1100101001011110110101000000000000000000,34,false,use_existing_source
303961,1001001011001101101110111001010110001101,34,false,use_existing_source
303963,1101010000110001110001110011101000101110,34,false,use_existing_source
303965,0011111101001101001100001111010000111101,34,false,use_existing_source
303967,0111101000011011000011111111011001101000,34,false,use_existing_source
303969,0100111001111000001001001100011100100010,34,false,use_existing_source
303971,1010011001001001001100101101111111110111,34,false,use_existing_source
303973,0111111011000010111110100000100100001111,34,false,use_existing_source
303975,0001001101011001010010100010001010010101,34,false,use_existing_source
303977,0100111000111100001000101100101010111101,34,false,use_existing_source
303979,0111101010011011110000001111110110110110,34,false,use_existing_source
303981,1010011100000110000011110000101101011100,34,false,use_existing_source
303983,0001010011010111100001100100110101011001,34,false,use_existing_source
303985,1100000110111011100111001001111010011011,34,false,use_existing_source
303987,1110100000110100000001111000100100101101,34,false,use_existing_source
303989,0100001111010011110001100000000000000000,34,false,use_existing_source
303991,1001001011001111011000101010011110111011,34,false,use_existing_source
